question,answer
What kind of light bulb should I use?,"Traditional tungsten light bulbs have been phased out because they get hot and use a lot of energy. New low-energy efficient bulbs get bright very quickly, are cost efficient to run and come in a range of brightness levels, shapes and fittings.  Types of light bulbs Light Emitting Diodes (LEDs) offer instant crisp, bright light. They tend to be more expensive than other products but can save money as they are long-life and energy efficient. Compact fluorescent bulbs (CFLs) are fluorescent tubes curved or folded into various shapes and compact enough to suit a range of light fittings. They are energy efficient and long-life bulbs. They may take time to reach full brightness but there are ‘quick start’ products that warm up faster. Unfortunately most CFLs can’t be used with standard dimmer switches. Fluorescent tubes produce less heat and use less energy. A single long straight type of this bulb is often used in the kitchen. Replacing these with multiple lights will provide more even light. LED lights are now available as a ‘bulb’ version or in a ‘strip’ light format similar to the traditional CFL strip light. Halogen lighting produces a very bright, light but gets extremely hot. Avoid the narrow beam spotlights. Be careful when changing halogen bulbs; use a cloth – the natural oil on skin will damage the bulb. Halogen lighting is cheap and provides instant brightness but isn’t as energy efficient as CFLs or LEDs."
Can I drive if I have macular degeneration?,"Having macular degeneration does not automatically mean you have to stop driving. Many people still meet the legal requirements and can continue to drive safely and legally.  However, if your eye specialist says you have any sight condition in both eyes which cannot be corrected with prescription glasses, you have a legal duty to inform your driving licence authority. If you don't, you could be breaking the law and this can result in a fine of up to £1,000.  You should also inform your car insurance provider. This is the case even if you feel your sight is still good."
Can I drive abroad if I have macular degeneration?,"Most European countries conform to the same sight regulations. However, some parts of the world may have different requirements. Before travelling abroad, check if you are still eligible to drive."
Can I get help with train travel?,"There are many types of rail cards which offer discounted and reduced cost travel. Rail cards include cards for disabled travellers and older people.  Disabled Person Rail Card - gives a third off the cost of tickets for the railcard holder and one companion. To be entitled to this card you need to be registered as sight impaired (partially sighted) or severely sight impaired (blind) Assisted Travel - Visually impaired people can contact the Passenger Assistance Service through National Rail Enquiries on 0800 022 3720. This service supports visually impaired travellers with locating their trains and connections. Book this service at least 24 hours in advance of travel. London Underground Staff will assist people with sight loss around their network. All train travel in Scotland is free to people who are registered as sight impaired or severely sight impaired. Most trains have accessible areas providing more space to travel, so either try to book these or request to be seated in that area. Sometimes these are even in first class!"
Can I get help with buses and coach travel?,"Local authorities and some national coach services offer discounted travel to people who are registered as sight impaired or severely sight impaired. National Bus Pass - England: bus customers who are registered sight impaired or severely sight impaired are entitled to free off-peak travel on local bus services. Some local authorities extend this to 24-hour travel on local bus routes. Similar schemes are available in Wales and Northern Ireland. Free bus travel is available in Scotland to people registered as sight impaired or severely sight impaired. Companion Pass: depending on your circumstances, you may be entitled to support from a family member/friend/carer on the bus. In most major cities in the UK any buses you travel on will announce which stop is coming up and which bus route you are on. National Express offer a coach card for disabled travellers for £10 per year."
Can I fly if I have macular disease?,"People with macular disease are generally able to fly. However, if you have had an injection or other treatments, it is always worth talking to your clinician before travelling."
Can I get help with air travel?,"There is plenty of help when travelling by air if you have a visual impairment. Discuss this with your travel agent or airline before you fly. After requesting assistance from your travel provider, you may be offered the following support:  Airport Special Assistance Team: after you check in, this team will guide you and your travelling companions through passport control, security and to your gate. This support then continues with assistance on to the plane, either up the steps or on an adapted lift. When you arrive at your destination, a member of the special assistance team or a holiday rep will help you off the plane and through the airport. If you have a guide dog, they will be able to travel in the cabin with you; check with the airport quarantine service where your guide dog is allowed to travel under the pet passport scheme. You need to book your guide dog onto the flight with your airline in advance."
Can I travel for holiday?,"When booking a holiday, inform your travel agent that you have macular disease. They will be able to offer information on the support they may be able to provide. This could include hotel rooms on lower floors, support with transfers to your resort and assistance with learning your way around the resort you are staying in.  There are also specialist travel agents that offer tailor made holidays to people with sight loss."
How can I get help to read a restaurant menu?,"Download the Good Food Talks app to your phone or tablet. It enables you to download a restaurant's menu and make it easier to read by adjusting the fonts, size or contrast. Make sure you have your preferred app on your phone for either magnifying the text in a menu or for having it read out to you - for example, the Seeing AI app. Look at the menu online beforehand Don't be embarrassed to ask a member of staff to help you to read the menu. Remember restaurants sometimes also have specials advertised on chalk boards. Ask if the restaurant has a large print menu"
What can help me when eating out?,"Having items such as extra menus and flowers removed from the table will make it easier to see plates, glasses, condiments etc. When booking, remember to ask about lighting over the table. Too much or too little light can cause issues. Don't be embarrassed to ask for a seating area in the restaurant which suits your needs e.g. near a window. Carry your symbol cane so that the restaurant is aware of your needs. Take a small task light - it can help you see the menu and your plate."
What technology can help me with shopping?,"Shopping with a friend or family member is helpful as they can support you in finding items you would like to buy, checking sizes and colours of clothes for example. If you prefer to shop on your own, taking some technology with you can help, such as:  Your magnifier Barcode reader Hand held digital magnifier There are also apps on your smart phone that can magnify and read barcodes."
How can I go out shopping?,"Shopping is one of life's necessities; many people find it enjoyable. Macular disease can make shopping daunting and difficult. But with a few changes, you can still go out shopping should you wish to.  The way that we shop has changed. We can now get most of our essentials from large supermarkets delivered to our door.  If you want to go out to shop, here are some tips which might help:  Think about the items that you want to buy and where you will get them. Consider a quieter time of day to go out so it's easier to move around. Visiting out of town retail parks can be less busy and easier to navigate. Creating a shopping list has become easier with today's technology. You can create a shopping list on your smart phone or tell your smart speaker to create a list, which you can then access on your smart phone. You could take the traditional route and use pen and paper in the size font you find easiest to read. "
How can I watch television?,"There are many TVs available with accessibility functions to help you to continue watching the programmes and films you love. If watching television is becoming uncomfortable, the following tips and information may help you. In the first instance, it may help to sit closer to the TV. By halving the distance, you’re creating 2x magnification. Facing the screen directly can place your worst vision in front of the screen, so if one eye is better than the other, try turning your chair about 45 degrees so you are able to look at the screen with your better eye. To reduce glare, try positioning the TV away from windows and lamps. Smart TVs can be connected to different streaming services such as Netflix, BBC iPlayer and more, where you can access TV programmes, movies, music, photos and games. Some newer smart TVs can be controlled by your voice via the TV remote, or small plug-in boxes like the Amazon Fire Stick. Some TV programmes offer an accompanying audio description. The BBC currently provides this for 20% of their schedule. This narration is in addition to the programme’s original soundtrack and provides a verbal description of the visual content. Typically it will describe scenery, a character’s appearance or facial expression, and what is going on in the scene.        "
How can I use a mobile phone?,"There are a wide range of phones available, from the simple to the more sophisticated.  At one end of the spectrum are simple handsets designed to offer a few functions with maximum accessibility. Typically these will allow you to make and receive phone calls and text messages using a tactile keypad. Screen contrast and text size can be easily adjusted. Examples include the Alto 2 and Doro PhoneEasy range.  At the other end of the scale are smartphones like the Apple iPhone and Samsung Galaxy, which have many advanced accessibility features.  Enlarged text and text-to-speech: Most smartphones have a large screen and the option to enlarge text, or read it out loud. Intelligent assistant: These built-in voice assistants, such as ‘Siri’ on the iPhone, work like a smart speaker. They allow you to dial contacts, dictate messages and emails, and search the internet. You can also ask it everyday questions such as ‘What’s the time?’ or ‘Will I need my umbrella today?’, and get a spoken response. Camera functions: As well as taking photographs, a smartphone camera also enables you to ‘zoom in’ on objects, just like you would with a magnifier. Apps: A key feature of tablets and smartphones are apps - downloadable pieces of software."
What are smart speakers?,"Advances in voice-activation technology, such as the Amazon Echo, Google Home and Apple HomePod allow you to control your computer, mobile phone, even lights and heating using your voice alone.  With a smart assistant, you can:  Play music and audiobooks Request recipes Check the weather Control your TV Set reminders and alarms Take notes Get answers to a variety of questions Play games and listen to jokes"
I have macular degeneration – how can I see better?,"There are strategies to help you cope better despite the damage. People with macular degeneration will usually find properly prescribed magnifiers helpful, although in its early stages simple over-the-counter magnifiers will be a good start."
What is dry macular degeneration?,"Dry macular degeneration happens when debris builds up behind the macula. The cells of the macula become unhealthy so the signals which would allow you to see are no longer carried by nerves from the back of the eye to the brain. It is the more common form of the condition and tends to happen to older people. It is usually gradually progressive and may lead to moderate visual loss, however this is often not severe. Effective treatments are not yet available."
What is wet macular degeneration?,"Wet macular degeneration happens when new blood vessels grow behind the macula. Blood leakages and scarring prevent the cells from working well and central vision becomes poor. This type of macular degeneration is less common, accounting for around one case in 10, but untreated leads to more severe visual loss. There are now treatments that can stabilise the condition but they are not a cure."
What is macular degeneration?,In macular degeneration there is damage to the cells in the macula. In the early stages this can cause small print to appear distorted. As one eye is usually affected before the other you may not notice these early changes. There is no pain with the condition. As it progresses the central distortion or fuzziness can turn into a blank spot which makes it hard to read small print or recognise faces. Macular degeneration does not usually lead to total sight loss: if you have the condition you are likely to retain your side vision which enables you to get around a bit easier than without.
How do I delay the progress of macular degeneration?,"Protecting your eyes from the sun, eating a well-balanced diet with plenty of fresh fruits and vegetables and stopping smoking may all help to delay the progress of macular degeneration."
Can diet or supplements help with macular degeneration?,"Recent research has looked at how certain supplements can cut the chance of developing macular degeneration or slow down its progress. One study showed that supplements including vitamin C and vitamin E, which are known as antioxidants, helped when taken in combination with zinc. Lutein and zeaxanthin, found in green leafy vegetables and eggs have also been shown to have protective effects. More trials are going on to test the effect of these in combination with fish oils. These are not indicated for everyone and there are health risks from taking very high levels of certain supplements, especially if you are a smoker or have been in the last 10 years, so it is important to consult your doctor before taking these supplements.  "
How can an Amsler Grid be used to monitor macular degeneration?,"If you want to monitor your own central visual field it can help you detect early visual changes: Cover one eye, so you can spot changes in each eye in turn. Make sure you have good lighting on the page. Wear your usual reading glasses, if you need them. Cover your right eye (without pressing hard). Use your left eye to stare at the spot in the centre of the grid. Keep your eye still, and notice the horizontal and vertical lines to the left and right, above and below the central dot. Are any of them blurry, distorted, missing or wiggly? Then repeat the test with your other eye covered. If you notice any problems, repeat the test after a few hours. If the lines remain distorted or broken, make an appointment with your optometrist."
What happens if I show signs of macular degeneration?,If your GP or optometrist detects signs of macular degeneration they may refer you to an ophthalmologist at a hospital. The referral may be urgent in the case of wet AMD or routine for untreatable dry AMD.  You will be sent an appointment to see the ophthalmologist. Take someone with you who can accompany you home as you will be given eye drops which widen your pupils and give the specialist a clearer view inside. These drops can leave your vision blurry for a few hours so someone else should drive home.
What happens during a hospital assessment for macular degeneration?,"The ophthalmologist will use a bright light to look inside your eye. In some cases, that will enable them to diagnose macular degeneration. Alternatively, they may use a new sort of computerised scanner (called OCT) which can see the layers beneath the retina. They should explain about the progression of the disease and talk about the sort of help you can get.  If the specialist needs further information about changes at the back of the eye they may suggest that you have a test that uses a dye injected into a vein in your arm to show up the path of the blood vessels around your macula. This test is called fluorescein angiography, often termed FFA. Dye is injected into your arm and travels to the blood vessels at the back of the eye. The specialist takes photographs using blue light, you may feel dazzled or nauseous during and after the test, but it is not painful. It helps the ophthalmologist understand what sort of macular degeneration is present and whether treatment can help."
I have macular degeneration – who can help?,"To find out about equipment that might help, you can contact RNIB, speak to your GP or local authority’s social care department about local support. The Macular Society has a leaflet about low vision aids and also offers a counselling service. There is likely to be a group for people with sight problems local to you that can help you with practical training and support, just contact the Macular Society."
How do I help the person I care for cope with macular degeneration?,"Macular degeneration can be frustrating for the person experiencing it. Suddenly it can become harder to read small print, look up telephone numbers, tell the time on your watch and more. It is also confusing because your peripheral vision may be unaffected. Make things easier by ensuring that there is good light at home. Look into obtaining large print or talking books and write notes in a clear bold pen. Support the person you care for to find out more about local low vision services so they can access magnifiers and other equipment to help them be independent. If your loved one lacks confidence getting out and about, check out the Macular Society’s information on being a ‘sighted guide’ for someone with sight problems. You can also enquire about the availability of mobility training through the local rehabilitation officer. Local branches of the Macular Society often offer excellent support and are well worth getting in touch with."
Should I register as blind or partially sighted now I have macular degeneration?,"It is not necessary to be registered as visually impaired or severely visually impaired, to be able to access low vision aid services. Low vision aid services in most areas have a relatively open access policy and your ophthalmologist, eye nurse or optician may be able to refer you without you needing to be on the visually impaired register."
I have macular disease in one eye and I’m worried about the other one. What should I do?,"If one eye is already affected and you are getting symptoms in the other eye, most NHS or private retinal specialists will have a rapid access system in place which you can access directly or through your GP."
What are drusen?,Drusen are yellow deposits under the retina. They often are found in people over age 50. Your eye care professional can detect drusen during a comprehensive dilated eye exam.
Do drusen cause vision loss in advanced dry AMD?,"Drusen alone do not usually cause vision loss. In fact, scientists are unclear about the connection between drusen and AMD. They do know that an increase in the size or number of drusen raises a person’s risk of developing either advanced dry AMD or wet AMD. These changes can cause serious vision loss."
The dry form of AMD has early and intermediate stages. Does the wet form have similar stages?,The wet form is not separated into stages. The wet form is considered advanced AMD.
Can the dry form turn into the wet form?,"All people who have the wet form had the dry form first. The dry form can advance and cause vision loss without turning into the wet form. The dry form also can suddenly turn into the wet form, even during early stage AMD. There is no way to tell if or when the dry form will turn into the wet form."
What is the AREDS formulation?,"The AREDS formulation is a combination of antioxidants and zinc that is named for a study conducted by The National Eye Institute called the Age-Related Eye Disease Study, or AREDS. This study found that taking a specific high-dose formulation of antioxidants and zinc significantly reduced the risk of advanced AMD and its associated vision loss. Slowing AMD’s progression from the intermediate stage to the advanced stage will save many people’s vision.  "
What is the dosage of the AREDS formulation?,"The daily amounts used by the study researchers were 500 milligrams of vitamin C, 400 International Units of vitamin E, 15 milligrams of beta-carotene, 80 milligrams of zinc as zinc oxide, and 2 milligrams of copper as cupric oxide. Copper was added to the AREDS formulation containing zinc to prevent copper deficiency anemia, a condition associated with high levels of zinc intake.  The follow up study, AREDS II, showed slightly better results. In this study the beta-carotene was eliminated and lutein 10 mg and Zeaxanthin 2 mg were added. Speak to your eye care professional to determine which is best for your situation."
Who should take the AREDS formulation?,"People who are at high risk for developing advanced AMD should consider taking the formulation. You are at high risk for developing advanced AMD if you have either intermediate AMD in one or both eyesORadvanced AMD, dry or wet, in one eye but not the other eye.  Your eye care professional can tell you if you have AMD, its stage, and your risk for developing the advanced form. The AREDS formulation is not a cure for AMD. It will not restore vision already lost from the disease. However, it may delay the onset of advanced AMD. It may help people who are at high risk for developing advanced AMD keep their vision."
Can people with early stage AMD take the AREDS formulation to help prevent the disease from progressing to the intermediate stage?,"There is no reason for those diagnosed with early stage AMD to take the AREDS formulation. The study did not find that the formulation helped those with early stage AMD.  If you have early stage AMD, a comprehensive dilated eye exam every year can help determine if the disease is progressing. If early stage AMD progresses to the intermediate stage, discuss taking the formulation with your doctor.  "
What can I do if I already have lost some vision from AMD?,"If you have lost some sight from AMD, ask your eye care professional about low vision services and devices that may help you make the most of your remaining vision.  Ask for a referral to a specialist in low vision. Many community organizations and agencies offer information about low vision counseling, training, and other special services for people with visual impairments.  Don’t be afraid to use your eyes for reading, watching TV, and other routine activities. Normal use of your eyes will not cause further damage to your vision."
What research is being done?,"The National Eye Institute scientists are:  studying the possibility of transplanting healthy cells into a diseased retina evaluating families with a history of AMD to understand genetic and hereditary factors that may cause the disease looking at certain anti-inflammatory treatments for the wet form of AMD. This research should provide better ways to detect, treat, and prevent vision loss in people with AMD."
Does macular degeneration only affect older people?,"Although the most common form of macular degeneration is age-related, there are many forms of macular degeneration that can affect younger people. These are all quite rare and most are caused by a specific gene defect.  Some of these forms include:  Best Disease or vitelliform macular dystrophy. Stargardt Disease:  this is the most common form seen in younger people and may appear from about 10 years of age, although vision loss may not occur until the 20s or 30s. Myopic macular degeneration:  can occur in people who are severely near-sighted due to extreme elongation of the eyeball. This condition can result in tears in the macula and bleeding beneath the retina.  Other macular dystrophies:  Sorsby's dystrophy, Behr's dystrophy and Doyne's (or honeycomb) dystrophy. "
Will I make my age-related macular degeneration worse by continuing to read?,"You will not make your age-related macular degeneration worse by reading. You may find you become tired more quickly when you are reading because you are having to concentrate more, particularly if you already have some loss of vision. You may need to have a break a bit more often when you are reading or make sure you have better lighting."
"Can 'using' my eyes cause further damage, will resting them 'make them last longer'?",You cannot hurt your eyes or wear them out quicker by using them for normal tasks. Please 'use' your eyes as much as you like. By doing so you may learn new ways of seeing things to compensate for your decreased vision.
Can 'resting' my good eye save it from developing age-related macular degeneration?,"If only one eye is affected, resting your 'good' eye has no impact on the risk of AMD developing. "
I have dry eyes. Is this the same as dry age-related macular degeneration?,"Dry or itchy eyes (which affects the front of the eye) is a different eye condition to dry age-related macular degeneration, which affects the retina at the back of the eye."
I have watery eyes. Does this mean I have wet age-related macular degeneration?,"Wet age-related macular degeneration means you have some fluid or blood leaking from abnormal blood vessels growing under the retina at the back of the eye. You cannot see this fluid or blood if you look in the mirror. The front of the eye gives us no indication of what is happening at the back of the eye or vice versa. Symptoms such as bloodshot eyes, dry or itchy eyes and watery eyes have no relationship to the retina. Any disease or damage to the retina does not affect the front of the eye in any way. You should speak to your optometrist or ophthalmologist if you have dry or itchy eyes."
Can I see for myself if my retina or macula shows any signs of damage before I have symptoms?," It is impossible to examine your own retina, which lines the inside of the eye. You need to have a full eye examination from an optometrist or ophthalmologist who will normally dilate (enlarge) the pupil to give a clear view of the retina, including the macula."
Is age-related macular degeneration painful?,AMD does not cause any pain. The early stages of age-related macular degeneration can also develop without you being aware of any visual symptoms. That's why you need an optometrist or your ophthalmologists to check your retina. A painful eye can be due to a number of other conditions and should be investigated by an optometrist or ophthalmologist.
Why don't new spectacles help?,Spectacles ‘help’ the lens at the front of the eye to better focus the image onto the retina (at the back of the eye). If the retina is damaged it cannot 'take a good picture' regardless of the strength of the lens or spectacles. An analogy is with an old style film camera. Cleaning the lens at the front of the camera will not help if the film at the back of the camera is damaged.
"Do any other eye disease such as cataract, glaucoma or diabetic retinopathy have an impact on age-related macular degeneration? ","Other eye diseases or complaints have no impact on the incidence, severity or outcome of age-related macular degeneration. Of course many eye complaints may cause vision loss or disturbance to varying degrees and if you have central vision loss due to macular degeneration, other visual symptoms can exacerbate your vision loss, but clinically they do not affect the actual disease process."
Is a macular hole the same as age-related macular degeneration?,"Macular hole and age-related macular degeneration are separate and distinct conditions. There is no relationship between the two, although the symptoms can be similar. A macular hole could be described as a 'traumatic' event, when a hole develops in the macula, due to the vitreous gel inside the eye pulling on the retina. This vitreous gel tends to shrink as we get older causing traction. In most cases, macular holes can be surgically repaired, providing they are treated early."
Is it 'normal' to experience visual hallucinations?," Up to 30% of people who have experienced significant vision loss from age-related macular degeneration or other eye conditions experience a range of visual hallucinations. This is known as Charles Bonnet Syndrome (CBS). These hallucinations can be mildly irritating or quite distressing, especially for those who experience vivid, random images of everyday objects or scenes at the most inappropriate times. People with CBS typically know that the hallucinations are not real, and other senses such as hearing, smell and taste, are not involved. Be assured that these hallucinations are a result of failing eyesight and are not a sign of a mental health issue. Images tend to come and go and will often settle down with time, although in some people, they can last for many years. Please discuss your concerns with your family and your doctor. It is quite possible that your GP will not have heard about CBS."
My vision is good but my eye health professional says I have the early signs of age-related macular degeneration. What does that mean?,"  The first signs of age-related macular degeneration start when the cells at the back of the eye (retina) do not efficiently remove waste products. These waste products, called drusen, build up under the centre of the retina (macula). If you have early signs, this means there are drusen under the retina. Typically, in the early stages, you will notice little or no impact on your vision. It is important to continue attending your regular appointments and use your Amsler grid to monitor your macular health.The first signs of age-related macular degeneration start when the cells at the back of the eye (retina) do not efficiently remove waste products. These waste products, called drusen, build up under the centre of the retina (macula). If you have early signs, this means there are drusen under the retina. Typically, in the early stages, you will notice little or no impact on your vision. It is important to continue attending your regular appointments and use your Amsler grid to monitor your macular health."
"I have been diagnosed with drusen, does this mean I have age-related macular degeneration?"," Almost everyone over the age of 50 has a few very small drusen (also called drupelets). These are considered a normal sign of ageing and are not classified as age-related macular degeneration. If the drusen increase in number and grow beyond a certain size, it may be classified as age-related macular degeneration. "
Is age-related macular degeneration contagious?,AMD is not contagious. It is a degenerative disease and not one that can be passed from person to person.
"I have had dry age-related macular degeneration for years. Does this mean I'm going to get wet AMD, too?","10 to 15% of people with early, intermediate or late stage dry AMD will develop wet AMD and this can occur very quickly. For this reason, it is essential to have a regular eye test and macula check, as recommended by your eye health professional. Additionally, use an Amsler grid to check your vision at home every day, especially if you have been diagnosed with AMD. If you notice any sudden change to your vision, contact your eye health professional immediately, as any delay increases the likelihood of losing vision and potential blindness."
Is age-related macular degeneration genetic?,There can be a genetic component in many cases of macular degeneration and it is one of the three risk factors. Up to 70% of people with age-related macular degeneration have a genetic link and if you have a direct family member with the disease there is an increased risk of getting the disease. A direct family member can be a parent or sibling. At least 35 gene variations can influence one's risk of getting the disease. Other risk factors are age and smoking.
"I have geographic atrophy, what does this mean?","  Geographic atrophy is when retinal cells gradually die (atrophy), leading to patches of ‘missing’ retina and loss of central vision. This occurs in the late dry stage of age-related macular degeneration."
" I have noticed changes to my vision when using the Amsler grid, what should I do?","If you notice any sudden changes to your vision when using an Amsler grid it is critical that you advise your health care professional (optometrist or ophthalmologist) immediately and make an appointment to have your eyes tested and your macula checked. When making the appointment, state that you have had a sudden change in vision. If you are given an appointment which is more than a week away, ask for it to be sooner. Intermediate or late stage dry AMD can turn into wet AMD very quickly and delays in seeking treatment can lead to loss of sight."
Is exercise good for age-related macular degeneration?,"MDFA advises that regular exercise is good not only for your general health and wellbeing but there is also evidence that people who exercise regularly are less likely to progress to late-stage disease. In addition, exercise is important for your emotional wellbeing. "
I have vision loss from age-related macular degeneration and cataracts. Will cataract surgery be of any use?,"In people with severe AMD, most central vision is lost and the person is very dependent on their peripheral vision. If these people also have significant cataracts, cataract surgery can significantly improve the quality of peripheral vision. Several studies have shown that in people who have significant cataracts and severe AMD, cataract surgery can produce major improvements in overall quality of life, even if central vision is not improved. In contrast, people with severe AMD and mild cataracts do not usually benefit greatly from cataract surgery."
Does cataract surgery increase the risk of macular disease progression?,"Cataracts and AMD are common eye conditions that can affect older people at the same time. Some studies and anecdotal reports suggest that cataract surgery may accelerate the progression of AMD. Other studies have shown no link. On balance, cataract surgery does not appear to contribute to worsening of AMD.  In some people, dense cataracts can mask the symptoms of AMD. When a dense cataract is removed and replaced with a new intraocular lens, vision is usually much clearer meaning that the symptoms of AMD, such as distortion, can become more obvious. Some people have mistakenly concluded that the surgery made the AMD worse.  People with conditions such as 'wet' age-related macular degeneration may be receiving regular injections of an anti-VEGF drug to reduce the formation of unwanted new blood vessels and leakage under or within the retina. If these people also have significant cataracts, it is generally considered appropriate to delay cataract surgery until the new blood vessel formation and leakage has stabilised. Delaying cataract surgery will not have any negative impact on the outcome of the surgery."
